DATA_PARTITION,scene_id,GRD_product_identifier,GRD_md5sum,GRD_vh,GRD_vv,GRD_vh_annotation,GRD_vv_annotation,SLC_product_identifier,SLC_md5sum,SLC_swath_1_vh,SLC_swath_1_vv,SLC_swath_1_vh_annotation,SLC_swath_1_vv_annotation,SLC_swath_2_vh,SLC_swath_2_vv,SLC_swath_2_vh_annotation,SLC_swath_2_vv_annotation,SLC_swath_3_vh,SLC_swath_3_vv,SLC_swath_3_vh_annotation,SLC_swath_3_vv_annotation
public,b5857d9d4719c304p,S1B_IW_GRDH_1SDV_20200407T185759_20200407T185824_021042_027EAA_107A,6241265105398ae752cf7f0017c67e23,s1b-iw-grd-vh-20200407t185759-20200407t185824-021042-027eaa-002_SARFish.tiff,s1b-iw-grd-vv-20200407t185759-20200407t185824-021042-027eaa-001_SARFish.tiff,s1b-iw-grd-vh-20200407t185759-20200407t185824-021042-027eaa-002.xml,s1b-iw-grd-vv-20200407t185759-20200407t185824-021042-027eaa-001.xml,S1B_IW_SLC__1SDV_20200407T185758_20200407T185825_021042_027EAA_A0CE,43e40b3ec1f998f2c70f5e4140916718,s1b-iw1-slc-vh-20200407t185759-20200407t185825-021042-027eaa-001_SARFish.tiff,s1b-iw1-slc-vv-20200407t185759-20200407t185825-021042-027eaa-004_SARFish.tiff,s1b-iw1-slc-vh-20200407t185759-20200407t185825-021042-027eaa-001.xml,s1b-iw1-slc-vv-20200407t185759-20200407t185825-021042-027eaa-004.xml,s1b-iw2-slc-vh-20200407t185758-20200407t185823-021042-027eaa-002_SARFish.tiff,s1b-iw2-slc-vv-20200407t185758-20200407t185823-021042-027eaa-005_SARFish.tiff,s1b-iw2-slc-vh-20200407t185758-20200407t185823-021042-027eaa-002.xml,s1b-iw2-slc-vv-20200407t185758-20200407t185823-021042-027eaa-005.xml,s1b-iw3-slc-vh-20200407t185759-20200407t185824-021042-027eaa-003_SARFish.tiff,s1b-iw3-slc-vv-20200407t185759-20200407t185824-021042-027eaa-006_SARFish.tiff,s1b-iw3-slc-vh-20200407t185759-20200407t185824-021042-027eaa-003.xml,s1b-iw3-slc-vv-20200407t185759-20200407t185824-021042-027eaa-006.xml
public,0d30f9dfc2891b6bp,S1B_IW_GRDH_1SDV_20200803T062012_20200803T062037_022755_02B2F6_ED2D,ac57a8cc17699c9e5d5773a17247fbf4,s1b-iw-grd-vh-20200803t062012-20200803t062037-022755-02b2f6-002_SARFish.tiff,s1b-iw-grd-vv-20200803t062012-20200803t062037-022755-02b2f6-001_SARFish.tiff,s1b-iw-grd-vh-20200803t062012-20200803t062037-022755-02b2f6-002.xml,s1b-iw-grd-vv-20200803t062012-20200803t062037-022755-02b2f6-001.xml,S1B_IW_SLC__1SDV_20200803T062011_20200803T062038_022755_02B2F6_64E9,79167015986f615da254ce18dccc3df1,s1b-iw1-slc-vh-20200803t062012-20200803t062037-022755-02b2f6-001_SARFish.tiff,s1b-iw1-slc-vv-20200803t062012-20200803t062037-022755-02b2f6-004_SARFish.tiff,s1b-iw1-slc-vh-20200803t062012-20200803t062037-022755-02b2f6-001.xml,s1b-iw1-slc-vv-20200803t062012-20200803t062037-022755-02b2f6-004.xml,s1b-iw2-slc-vh-20200803t062013-20200803t062038-022755-02b2f6-002_SARFish.tiff,s1b-iw2-slc-vv-20200803t062013-20200803t062038-022755-02b2f6-005_SARFish.tiff,s1b-iw2-slc-vh-20200803t062013-20200803t062038-022755-02b2f6-002.xml,s1b-iw2-slc-vv-20200803t062013-20200803t062038-022755-02b2f6-005.xml,s1b-iw3-slc-vh-20200803t062011-20200803t062036-022755-02b2f6-003_SARFish.tiff,s1b-iw3-slc-vv-20200803t062011-20200803t062036-022755-02b2f6-006_SARFish.tiff,s1b-iw3-slc-vh-20200803t062011-20200803t062036-022755-02b2f6-003.xml,s1b-iw3-slc-vv-20200803t062011-20200803t062036-022755-02b2f6-006.xml
public,dfa80e10f1e1e51cp,S1B_IW_GRDH_1SDV_20200728T164039_20200728T164104_022674_02B099_A8ED,7c1030067010dafb31e7df0acc4b9222,s1b-iw-grd-vh-20200728t164039-20200728t164104-022674-02b099-002_SARFish.tiff,s1b-iw-grd-vv-20200728t164039-20200728t164104-022674-02b099-001_SARFish.tiff,s1b-iw-grd-vh-20200728t164039-20200728t164104-022674-02b099-002.xml,s1b-iw-grd-vv-20200728t164039-20200728t164104-022674-02b099-001.xml,S1B_IW_SLC__1SDV_20200728T164038_20200728T164105_022674_02B099_63E7,8d5c050ffc8ef150f87c7df9f9cd92db,s1b-iw1-slc-vh-20200728t164039-20200728t164104-022674-02b099-001_SARFish.tiff,s1b-iw1-slc-vv-20200728t164039-20200728t164104-022674-02b099-004_SARFish.tiff,s1b-iw1-slc-vh-20200728t164039-20200728t164104-022674-02b099-001.xml,s1b-iw1-slc-vv-20200728t164039-20200728t164104-022674-02b099-004.xml,s1b-iw2-slc-vh-20200728t164040-20200728t164105-022674-02b099-002_SARFish.tiff,s1b-iw2-slc-vv-20200728t164040-20200728t164105-022674-02b099-005_SARFish.tiff,s1b-iw2-slc-vh-20200728t164040-20200728t164105-022674-02b099-002.xml,s1b-iw2-slc-vv-20200728t164040-20200728t164105-022674-02b099-005.xml,s1b-iw3-slc-vh-20200728t164038-20200728t164103-022674-02b099-003_SARFish.tiff,s1b-iw3-slc-vv-20200728t164038-20200728t164103-022674-02b099-006_SARFish.tiff,s1b-iw3-slc-vh-20200728t164038-20200728t164103-022674-02b099-003.xml,s1b-iw3-slc-vv-20200728t164038-20200728t164103-022674-02b099-006.xml
public,b0b4729bdfa985b4p,S1B_IW_GRDH_1SDV_20200802T054007_20200802T054032_022740_02B28A_034B,58043bfc5a947cd4071a65cabec5eed2,s1b-iw-grd-vh-20200802t054007-20200802t054032-022740-02b28a-002_SARFish.tiff,s1b-iw-grd-vv-20200802t054007-20200802t054032-022740-02b28a-001_SARFish.tiff,s1b-iw-grd-vh-20200802t054007-20200802t054032-022740-02b28a-002.xml,s1b-iw-grd-vv-20200802t054007-20200802t054032-022740-02b28a-001.xml,S1B_IW_SLC__1SDV_20200802T054006_20200802T054032_022740_02B28A_332C,5926e6b9b08603bb842390c9a7d25573,s1b-iw1-slc-vh-20200802t054006-20200802t054032-022740-02b28a-001_SARFish.tiff,s1b-iw1-slc-vv-20200802t054006-20200802t054032-022740-02b28a-004_SARFish.tiff,s1b-iw1-slc-vh-20200802t054006-20200802t054032-022740-02b28a-001.xml,s1b-iw1-slc-vv-20200802t054006-20200802t054032-022740-02b28a-004.xml,s1b-iw2-slc-vh-20200802t054007-20200802t054032-022740-02b28a-002_SARFish.tiff,s1b-iw2-slc-vv-20200802t054007-20200802t054032-022740-02b28a-005_SARFish.tiff,s1b-iw2-slc-vh-20200802t054007-20200802t054032-022740-02b28a-002.xml,s1b-iw2-slc-vv-20200802t054007-20200802t054032-022740-02b28a-005.xml,s1b-iw3-slc-vh-20200802t054006-20200802t054031-022740-02b28a-003_SARFish.tiff,s1b-iw3-slc-vv-20200802t054006-20200802t054031-022740-02b28a-006_SARFish.tiff,s1b-iw3-slc-vh-20200802t054006-20200802t054031-022740-02b28a-003.xml,s1b-iw3-slc-vv-20200802t054006-20200802t054031-022740-02b28a-006.xml
public,66a20d213523e230p,S1B_IW_GRDH_1SDV_20201026T062014_20201026T062039_023980_02D93F_309F,04c7e3deea98d0fc94a1f999f92483b3,s1b-iw-grd-vh-20201026t062014-20201026t062039-023980-02d93f-002_SARFish.tiff,s1b-iw-grd-vv-20201026t062014-20201026t062039-023980-02d93f-001_SARFish.tiff,s1b-iw-grd-vh-20201026t062014-20201026t062039-023980-02d93f-002.xml,s1b-iw-grd-vv-20201026t062014-20201026t062039-023980-02d93f-001.xml,S1B_IW_SLC__1SDV_20201026T062014_20201026T062041_023980_02D93F_588E,67cf478ef8e96f42ff3998bd293c0c30,s1b-iw1-slc-vh-20201026t062014-20201026t062040-023980-02d93f-001_SARFish.tiff,s1b-iw1-slc-vv-20201026t062014-20201026t062040-023980-02d93f-004_SARFish.tiff,s1b-iw1-slc-vh-20201026t062014-20201026t062040-023980-02d93f-001.xml,s1b-iw1-slc-vv-20201026t062014-20201026t062040-023980-02d93f-004.xml,s1b-iw2-slc-vh-20201026t062015-20201026t062041-023980-02d93f-002_SARFish.tiff,s1b-iw2-slc-vv-20201026t062015-20201026t062041-023980-02d93f-005_SARFish.tiff,s1b-iw2-slc-vh-20201026t062015-20201026t062041-023980-02d93f-002.xml,s1b-iw2-slc-vv-20201026t062015-20201026t062041-023980-02d93f-005.xml,s1b-iw3-slc-vh-20201026t062014-20201026t062039-023980-02d93f-003_SARFish.tiff,s1b-iw3-slc-vv-20201026t062014-20201026t062039-023980-02d93f-006_SARFish.tiff,s1b-iw3-slc-vh-20201026t062014-20201026t062039-023980-02d93f-003.xml,s1b-iw3-slc-vv-20201026t062014-20201026t062039-023980-02d93f-006.xml
public,570f8bf76cac1d94p,S1B_IW_GRDH_1SDV_20200205T062005_20200205T062030_020130_02619D_7A88,9f399810405f95d57f813ed3e658c695,s1b-iw-grd-vh-20200205t062005-20200205t062030-020130-02619d-002_SARFish.tiff,s1b-iw-grd-vv-20200205t062005-20200205t062030-020130-02619d-001_SARFish.tiff,s1b-iw-grd-vh-20200205t062005-20200205t062030-020130-02619d-002.xml,s1b-iw-grd-vv-20200205t062005-20200205t062030-020130-02619d-001.xml,S1B_IW_SLC__1SDV_20200205T062004_20200205T062031_020130_02619D_008D,30db9f7f0e4b3fc8467807efe854223d,s1b-iw1-slc-vh-20200205t062005-20200205t062030-020130-02619d-001_SARFish.tiff,s1b-iw1-slc-vv-20200205t062005-20200205t062030-020130-02619d-004_SARFish.tiff,s1b-iw1-slc-vh-20200205t062005-20200205t062030-020130-02619d-001.xml,s1b-iw1-slc-vv-20200205t062005-20200205t062030-020130-02619d-004.xml,s1b-iw2-slc-vh-20200205t062006-20200205t062031-020130-02619d-002_SARFish.tiff,s1b-iw2-slc-vv-20200205t062006-20200205t062031-020130-02619d-005_SARFish.tiff,s1b-iw2-slc-vh-20200205t062006-20200205t062031-020130-02619d-002.xml,s1b-iw2-slc-vv-20200205t062006-20200205t062031-020130-02619d-005.xml,s1b-iw3-slc-vh-20200205t062004-20200205t062029-020130-02619d-003_SARFish.tiff,s1b-iw3-slc-vv-20200205t062004-20200205t062029-020130-02619d-006_SARFish.tiff,s1b-iw3-slc-vh-20200205t062004-20200205t062029-020130-02619d-003.xml,s1b-iw3-slc-vv-20200205t062004-20200205t062029-020130-02619d-006.xml
public,d1318f6812c769d9p,S1B_IW_GRDH_1SDV_20200908T062014_20200908T062039_023280_02C35D_6CFF,0070f84093af2d9bbf3f1a3596a45fbb,s1b-iw-grd-vh-20200908t062014-20200908t062039-023280-02c35d-002_SARFish.tiff,s1b-iw-grd-vv-20200908t062014-20200908t062039-023280-02c35d-001_SARFish.tiff,s1b-iw-grd-vh-20200908t062014-20200908t062039-023280-02c35d-002.xml,s1b-iw-grd-vv-20200908t062014-20200908t062039-023280-02c35d-001.xml,S1B_IW_SLC__1SDV_20200908T062013_20200908T062040_023280_02C35D_0B22,14a8ed7b191872771bda9670d036472b,s1b-iw1-slc-vh-20200908t062014-20200908t062039-023280-02c35d-001_SARFish.tiff,s1b-iw1-slc-vv-20200908t062014-20200908t062039-023280-02c35d-004_SARFish.tiff,s1b-iw1-slc-vh-20200908t062014-20200908t062039-023280-02c35d-001.xml,s1b-iw1-slc-vv-20200908t062014-20200908t062039-023280-02c35d-004.xml,s1b-iw2-slc-vh-20200908t062015-20200908t062040-023280-02c35d-002_SARFish.tiff,s1b-iw2-slc-vv-20200908t062015-20200908t062040-023280-02c35d-005_SARFish.tiff,s1b-iw2-slc-vh-20200908t062015-20200908t062040-023280-02c35d-002.xml,s1b-iw2-slc-vv-20200908t062015-20200908t062040-023280-02c35d-005.xml,s1b-iw3-slc-vh-20200908t062013-20200908t062038-023280-02c35d-003_SARFish.tiff,s1b-iw3-slc-vv-20200908t062013-20200908t062038-023280-02c35d-006_SARFish.tiff,s1b-iw3-slc-vh-20200908t062013-20200908t062038-023280-02c35d-003.xml,s1b-iw3-slc-vv-20200908t062013-20200908t062038-023280-02c35d-006.xml
public,5b44fe761873df4dp,S1B_IW_GRDH_1SDV_20200827T075723_20200827T075748_023106_02BDE7_5BE1,0708b2628cfd1761c905f2f216816e48,s1b-iw-grd-vh-20200827t075723-20200827t075748-023106-02bde7-002_SARFish.tiff,s1b-iw-grd-vv-20200827t075723-20200827t075748-023106-02bde7-001_SARFish.tiff,s1b-iw-grd-vh-20200827t075723-20200827t075748-023106-02bde7-002.xml,s1b-iw-grd-vv-20200827t075723-20200827t075748-023106-02bde7-001.xml,S1B_IW_SLC__1SDV_20200827T075721_20200827T075749_023106_02BDE7_83BE,c6c78ce6d7980ba3878b900ecdfd9b51,s1b-iw1-slc-vh-20200827t075721-20200827t075749-023106-02bde7-001_SARFish.tiff,s1b-iw1-slc-vv-20200827t075721-20200827t075749-023106-02bde7-004_SARFish.tiff,s1b-iw1-slc-vh-20200827t075721-20200827t075749-023106-02bde7-001.xml,s1b-iw1-slc-vv-20200827t075721-20200827t075749-023106-02bde7-004.xml,s1b-iw2-slc-vh-20200827t075722-20200827t075748-023106-02bde7-002_SARFish.tiff,s1b-iw2-slc-vv-20200827t075722-20200827t075748-023106-02bde7-005_SARFish.tiff,s1b-iw2-slc-vh-20200827t075722-20200827t075748-023106-02bde7-002.xml,s1b-iw2-slc-vv-20200827t075722-20200827t075748-023106-02bde7-005.xml,s1b-iw3-slc-vh-20200827t075723-20200827t075749-023106-02bde7-003_SARFish.tiff,s1b-iw3-slc-vv-20200827t075723-20200827t075749-023106-02bde7-006_SARFish.tiff,s1b-iw3-slc-vh-20200827t075723-20200827t075749-023106-02bde7-003.xml,s1b-iw3-slc-vv-20200827t075723-20200827t075749-023106-02bde7-006.xml
public,2afbfbcc8499a514p,S1A_IW_GRDH_1SDV_20200320T185905_20200320T185930_031763_03A9E6_9F1D,5b7f852926291732959896e71fca1135,s1a-iw-grd-vh-20200320t185905-20200320t185930-031763-03a9e6-002_SARFish.tiff,s1a-iw-grd-vv-20200320t185905-20200320t185930-031763-03a9e6-001_SARFish.tiff,s1a-iw-grd-vh-20200320t185905-20200320t185930-031763-03a9e6-002.xml,s1a-iw-grd-vv-20200320t185905-20200320t185930-031763-03a9e6-001.xml,S1A_IW_SLC__1SDV_20200320T185904_20200320T185931_031763_03A9E6_50EA,fa63f531bd62c3dec68318967b9a38f8,s1a-iw1-slc-vh-20200320t185906-20200320t185931-031763-03a9e6-001_SARFish.tiff,s1a-iw1-slc-vv-20200320t185906-20200320t185931-031763-03a9e6-004_SARFish.tiff,s1a-iw1-slc-vh-20200320t185906-20200320t185931-031763-03a9e6-001.xml,s1a-iw1-slc-vv-20200320t185906-20200320t185931-031763-03a9e6-004.xml,s1a-iw2-slc-vh-20200320t185904-20200320t185929-031763-03a9e6-002_SARFish.tiff,s1a-iw2-slc-vv-20200320t185904-20200320t185929-031763-03a9e6-005_SARFish.tiff,s1a-iw2-slc-vh-20200320t185904-20200320t185929-031763-03a9e6-002.xml,s1a-iw2-slc-vv-20200320t185904-20200320t185929-031763-03a9e6-005.xml,s1a-iw3-slc-vh-20200320t185905-20200320t185930-031763-03a9e6-003_SARFish.tiff,s1a-iw3-slc-vv-20200320t185905-20200320t185930-031763-03a9e6-006_SARFish.tiff,s1a-iw3-slc-vh-20200320t185905-20200320t185930-031763-03a9e6-003.xml,s1a-iw3-slc-vv-20200320t185905-20200320t185930-031763-03a9e6-006.xml
public,52f79458b164cd8dp,S1B_IW_GRDH_1SDV_20201109T185858_20201109T185931_024192_02DFCD_63C0,1f4959b8ab73a217d6ec530e823bc377,s1b-iw-grd-vh-20201109t185858-20201109t185931-024192-02dfcd-002_SARFish.tiff,s1b-iw-grd-vv-20201109t185858-20201109t185931-024192-02dfcd-001_SARFish.tiff,s1b-iw-grd-vh-20201109t185858-20201109t185931-024192-02dfcd-002.xml,s1b-iw-grd-vv-20201109t185858-20201109t185931-024192-02dfcd-001.xml,S1B_IW_SLC__1SDV_20201109T185856_20201109T185931_024192_02DFCD_136C,3f4ccd72c3532b245651a0abea7e8083,s1b-iw1-slc-vh-20201109t185858-20201109t185929-024192-02dfcd-001_SARFish.tiff,s1b-iw1-slc-vv-20201109t185858-20201109t185929-024192-02dfcd-004_SARFish.tiff,s1b-iw1-slc-vh-20201109t185858-20201109t185929-024192-02dfcd-001.xml,s1b-iw1-slc-vv-20201109t185858-20201109t185929-024192-02dfcd-004.xml,s1b-iw2-slc-vh-20201109t185856-20201109t185930-024192-02dfcd-002_SARFish.tiff,s1b-iw2-slc-vv-20201109t185856-20201109t185930-024192-02dfcd-005_SARFish.tiff,s1b-iw2-slc-vh-20201109t185856-20201109t185930-024192-02dfcd-002.xml,s1b-iw2-slc-vv-20201109t185856-20201109t185930-024192-02dfcd-005.xml,s1b-iw3-slc-vh-20201109t185857-20201109t185931-024192-02dfcd-003_SARFish.tiff,s1b-iw3-slc-vv-20201109t185857-20201109t185931-024192-02dfcd-006_SARFish.tiff,s1b-iw3-slc-vh-20201109t185857-20201109t185931-024192-02dfcd-003.xml,s1b-iw3-slc-vv-20201109t185857-20201109t185931-024192-02dfcd-006.xml
